Recordnaam	Recordcode	Volgnummer	Naam gegevenselement	Type	Lengte	Patroon	Eindpositie	Verplichting	Sleutel	Code gegeven	Organisatiecode	Objectcode	Objectnaam	Beschrijving functie	Toelichting	Codering bovengeschikt	Naam codering bovengeschikt	Organisatienaam	Status	Beschrijving codering algemeen	Toelichting codering algemeen	Beschrijving codering berichtspecifiek	Naam codelijst	Code codelijst	Voorbeeld vulling	Constraints/condities
VOORLOOPRECORD	01	0101	KENMERK RECORD	N	2		2	M	T	COD001	VEK4	TECH	TECHNISCHE GEGEVENSELEMENTEN	Identificatie van het soort record in een externe-integratiebericht.					SITUATIE AFHANKELIJKE AANBEVELING			Voorlooprecord is recordtype 01.				Waarde '01' vullen.
VOORLOOPRECORD	01	0102	CODE EXTERNE-INTEGRATIEBERICHT	N	3	NNN	5	M		COD002	VEKT	BERI	BERICHTINFORMATIE ALGEMEEN	Code ter identificatie van een (soort) (externe-integratie)bericht.				VEKTIS BV	AANBEVELING VEKTIS		Vullen met de code, die voor het desbetreffende EI-bericht van toepassing is.		IDENTIFICATIE EI/EDI BERICHT	COD002-VEKT		Waarde 181 = declaratie DBC-zorg GGZ
VOORLOOPRECORD	01	0103	VERSIENUMMER BERICHTSTANDAARD	N	2		7	M		NUM001	VEK1	BERI	BERICHTINFORMATIE ALGEMEEN	Volgnummer van de formele uitgifte van een versie van een (externe-integratie)berichtstandaard.	Wijzigingen die gevolgen hebben voor de structuur (recordlay-out) van een EI-bericht leiden tot een verandering van de versie van een EI-standaard.			VEKTIS BV	SITUATIE AFHANKELIJKE AANBEVELING	Nummer wordt in volgorde van uitgifte van de standaard bepaald.	Vullen met het versienummer van de desbetreffende EI-standaard.					Waarde 01 vullen.
VOORLOOPRECORD	01	0104	SUBVERSIENUMMER BERICHTSTANDAARD	N	2		9	C		NUM309	VEKT	BERI	BERICHTINFORMATIE ALGEMEEN	Volgnummer binnen het versienummer van een (externe-integratie)berichtstandaard.Volgnummer van de formele uitgifte van een subversie van een (Externe Integratie) berichtstandaard.	Wijzigingen die gevolgen hebben voor de inhoud van een EI-bericht, maar de structuur van het EI-bericht ongemoeid laten, leiden tot een verandering van de subversie van een EI-standaard.			VEKTIS BV	AANBEVELING VEKTIS	Het nummer wordt in volgorde van uitgifte van de subversie van een standaard bepaald.	Vullen met het subversienummer van de desbetreffende EI-standaard.					"Conditie: verplicht vullen als de subversie een waarde 1 of hoger heeft, anders ""00"" vullen (betekenis: er is geen subversie bij deze versie). Waarde '01' vullen."
VOORLOOPRECORD	01	0105	SOORT BERICHT	AN	1		10	M		COD856	VEKT	BERI	BERICHTINFORMATIE ALGEMEEN	Aanduiding van het doel van het bestand.	Met deze aanduiding kan aangegeven worden of het bestand daadwerkelijk verwerkt moet worden of dat het enkel voor testdoeleinden gebruikt mag worden.			VEKTIS BV	SITUATIE AFHANKELIJKE AANBEVELING				BERICHTSOORT	COD856-VEKT		Conditie: als rubriek 0106 CODE INFORMATIESYSTEEM SOFTWARELEVERANCIER gevuld is, dan verplicht vullen. Anders niet vullen.
VOORLOOPRECORD	01	0106	CODE INFORMATIESYSTEEM SOFTWARELEVERANCIER	N	6		16	O		COD805	VEKT	BERI	BERICHTINFORMATIE ALGEMEEN	Identificatie van het informatiesysteem van een softwareleverancier	Hiermee kan men aangeven met welk systeem het bericht aangemaakt is.			VEKTIS BV	AANBEVELING VEKTIS	De eerste 4 posities van de code identificeren de softwareleverancier, de laatste 2 posities identificeren het informatiesysteem.		De softwareleverancier bepaalt of dit gegeven wordt ingevuld.	CODE INFORMATIESYSTEEM SOFTWARELEVERANCIER	COD805-VEKT		
VOORLOOPRECORD	01	0107	VERSIEAANDUIDING INFORMATIESYSTEEM SOFTWARELEVERANCIER	AN	10		26	C		NUM284	VEKT	BERI	BERICHTINFORMATIE ALGEMEEN	Aanduiding van een versie van een informatiesysteem.	Hiermee kan men aangeven met welke versie van het informatiesysteem in de vorige rubriek het bericht aangemaakt is.			VEKTIS BV	AANBEVELING VEKTIS							Conditie: als rubriek 0106 CODE INFORMATIESYSTEEM SOFTWARELEVERANCIER gevuld is, dan de versie verplicht vullen. Anders niet vullen.
VOORLOOPRECORD	01	0108	UZOVI-NUMMER	N	4		30	C		COD061	VEKT	ZVZA	ZORGVERZEKERAAR	Identificatie van een (zorg)verzekeraar die betrokken is bij de uitvoering van de Basisverzekering en/of de Algemene Wet Bijzondere Ziektekosten.	"UZOVI = Unieke ZOrgVerzekeraars Identificatie. In het UZOVI-register worden de nummers beheerd; hierin is ook aangegeven welke nummers relevant zijn voor declaraties. Naam gegeven voorheen: ""Code zorgverzekeraar""."			VEKTIS BV	AANBEVELING VEKTIS		Raadpleeg voor meer informatie het UZOVI-register bij Vektis (http://uzovi.vektis.nl).	Als het UZOVI-nummer niet in het detailrecord staat, heeft het in deze rubriek naast een logistiek doel ook een inhoudelijk doel (zorgverzekeraar is betalende partij). In detailrecords mag het UZOVI-nummer afwijken van de vulling van rubriek 0108.				Conditie: verplicht vullen als de declaratie naar een zorgverzekeraar gaat.
VOORLOOPRECORD	01	0109	CODE SERVICEBUREAU	N	8	NNNNNNNN	38	C		COD377	VEKT	ZOVL	ZORGVERLENER	Identificerende code van een servicebureau. Een servicebureau is een dienstverlenende organisatie (eenheid), die een (elektronische) schakel vormt tussen zorgverleners (vrijgevestigde beroepsbeoefenaren en zorginstellingen) en zorgverzekeraars.	Een servicebureau splitst een nota op, routeert door met of zonder bewerking/verrijking van gegevens in het declaratiebestand. Er is dus sprake van factoring of clearing.  Is dus geen tussenschakel die uitsluitend een 'postbusfunctie' heeft, zoals VECOZO	COD009	CODERING ZORGVERLENER	VEKTIS BV	AANBEVELING VEKTIS	De AGB-code bestaat uit ZORGVERLENERSSOORT (COD008) en ZORGVERLENERSNUMMER (NUM005). ZORGVERLENERSSOORT op positie 1-2, ZORGVERLENERSNUMMER op positie 3-8. Het zorgverlenersnummer is uniek binnen de zorgverlenerssoort.	Voor meer informatie zie http://agb.vektis.nl/.	Zorgverlenerssoort = 98.				Conditie: verplicht invullen als de declaratie van een zorgaanbieder naar een servicebureau of van een servicebureau naar een zorgverzekeraar gaat.
VOORLOOPRECORD	01	0110	ZORGVERLENERSCODE	N	8	NNNNNNNN	46	C		COD009	VEKT	ZOVL	ZORGVERLENER	Identificerende code van de zorgverlener (natuurlijk persoon).				VEKTIS BV	AANBEVELING VEKTIS	De AGB-code bestaat uit ZORGVERLENERSSOORT (COD008) en ZORGVERLENERSNUMMER (NUM005). ZORGVERLENERSSOORT op positie 1-2, ZORGVERLENERSNUMMER op positie 3-8. Het zorgverlenersnummer is uniek binnen de zorgverlenerssoort.	Voor meer informatie zie http://agb.vektis.nl/.					Conditie: verplicht invullen als de praktijkcode gevuld is (dus als er geen sprake is van een instelling). Als er sprake is van een instelling, dan wordt in plaats van dit gegeven 0112 INSTELLINGSCODE ingevuld.
